Questions,Option1,Option 2,Option 3,Option 4,Correct Answer
What is Discrete Maths?,The study of mathematical structures.,The branch of mathematics that deals with quadratic functions.,The study of mathematics that focuses on continuous data and real numbers.,The branch of mathematics that deals with integers and sets.,The branch of mathematics that deals with integers and sets.
What is the logical equivalence of Â¬Â¬ğ’‘ âˆ§ q?,p ^ q,pâˆ¨ Â¬q,pâˆ¨ Â¬ Â¬q,Â¬p^ Â¬q,p ^ q
Complete the De Morganâ€™s theorem of Â¬(ğ’‘ âˆ§ ğ’’),Â¬ğ’‘ âˆ¨ Â¬q,Â¬ğ’‘ ^ Â¬q,p^ Â¬q,p âˆ¨ Â¬q,Â¬ğ’‘ âˆ¨ Â¬q
Which expression translates to â€œThere is a prime numberâ€,âˆ€xÂ¬âˆƒy(x < y < x + 1),âˆ€xâˆ€yâˆƒz(x < z < y âˆ¨ y < z < x),Â¬âˆ€xâˆƒy(x < y < x + 1),Â¬âˆ€xâˆ€yÂ¬âˆƒz(x < z < y âˆ¨ y < z < x),âˆ€xâˆ€yâˆƒz(x < z < y âˆ¨ y < z < x)
Write the final column for the expression (Aâˆ¨Â¬B)â‡”((Câˆ§Â¬A)â†’ (B^C)),0.1.0.1.0.0.1.1,1.1.0.0.0.1.1.1,1.1.0.0.0.1.1.1,0.0.0.1.0.1.1.1,0.0.0.1.0.1.1.1
Matrix A = [1.3.4.9].Find the inverse of A,-2. 4. 7/3. -2/3,-3. 5. -8. 1/3,2. 1. -5. 11/3,-3. 1. 4/3. -1/3,(-3. 1. 4/3. -1/3
Which of the following statements is true?, If m = n + 1 then the graph is bipartite.,if m = n - 1 then the graph is a tree., If m = n then the graph contains a cycle.,If m > n then the graph is planar.,if m = n - 1 then the graph is a tree.
What is the maximum number of registers at the Digital Logic Level?,16,32,64,128,64
What does Moore's Law state?,The price of computer hardware is halved every two years,Computer processors will quadruple every five years,The number of transistors will double every two years,The doubling of computer software capabilities every two years,The number of transistors will double every two years
Registers form a circuit called:,an Assembly Based Algorithm,a Microprogram,a Memory Map,an Arithmetic Logic Unit,an Arithmetic Logic Unit
Convert 284B to decimal,10.315^10,11.329^10,9.326^10,13.213^10,10.315^10
What does MIPS stand for?,Modular Integrated Processing System,Millions of Instructions Per Second,Minimal Instruction-Set Processor,Multi-Instruction Processing System,Millions of Instructions Per Second
Multiply 0010^2 * 1101^2,10000010^2,101010^2,11010^2,1000001^2,11010^2
Divide 10110^2 / 100^2,110^2,101.1^2,100.1^2,111.1^2,101.1^2
What is BNF an abbreviation for?,Backus â€“ Naur Form,Binary Numeric Format,Block Notation Framework,. Basic Node Function,Backus â€“ Naur Form
What is the definition of semantics?,The study of the sounds and pronunciation of words in a language,The process of analyzing the grammatical structure of a sentence,The arrangement of words and phrases to create well-formed sentences in a language.,Semantics describes the processes a computer follows when executing a program in that specific language,Semantics describes the processes a computer follows when executing a program in that specific language
Which of these sets is not a lattice?,"The power set of a finite set, ordered by inclusion.",The set of integers under the usual less-than-or-equal relation,The set of positive integers under the usual less-than-or-equal relation,The set of real numbers under the usual less-than-or-equal relation,The set of positive integers under the usual less-than-or-equal relation
Which of these matches the law of associativity?,(x âŠ“ y) âŠ“ z = x âŠ“ (y âŠ“ z),x âŠ“ y = y âŠ“ x,x âŠ” y = y âŠ” x,x âŠ” (x âŠ“ y) = x,(x âŠ“ y) âŠ“ z = x âŠ“ (y âŠ“ z)
Which of the following statements is true?,In a linked list elements are stored contiguously in memory,In an array resizing is typically more expensive.,In an array accessing an element by index is generally faster than in a linked list,In a linked list elements are accessed using an index,In an array resizing is typically more expensive.
"Given the Boolean expression Pâˆ§(Qâˆ¨Â¬R)Pâˆ§(Qâˆ¨Â¬R) which of the following expressions is equivalent to it?",Pâˆ§Qâˆ¨Â¬RPâˆ§Qâˆ¨Â¬R,(Pâˆ¨Qâˆ§Â¬RPâˆ¨Qâˆ§Â¬R,((Pâˆ§Q)âˆ¨Â¬R(Pâˆ§Q)âˆ¨Â¬R),Pâˆ§Qâˆ§RPâˆ§Qâˆ§R,((Pâˆ§Q)âˆ¨Â¬R(Pâˆ§Q)âˆ¨Â¬R)